,r=0.9,r=0.925,r=0.95,r=0.975,r=1
1000,13.393,11.833,10.701,10.49,2.7053
1100.7,12.896,11.229,9.9757,9.6453,2.3766
1211.5,12.386,10.745,9.3591,8.9002,2.196
1333.5,11.996,10.246,8.8585,8.2263,1.9999
1467.8,11.619,9.8366,8.3252,7.6043,1.8064
1615.6,11.252,9.3733,7.8294,7.023,1.5935
1778.3,10.929,9.0253,7.4039,6.495,1.4766
1957.3,10.628,8.6668,6.9936,6.0288,1.3574
2154.4,10.314,8.3387,6.6195,5.549,1.2144
2371.4,10.049,8.0577,6.2689,5.1335,1.116
2610.2,9.8166,7.8048,5.9834,4.754,0.99777
2873,9.6003,7.5336,5.713,4.4299,0.92505
3162.3,9.4335,7.3494,5.4529,4.1172,0.83754
3480.7,9.2402,7.1443,5.2023,3.8309,0.75437
3831.2,9.0887,6.952,5.0035,3.5822,0.69728
4217,8.9905,6.8217,4.8026,3.3331,0.62175
4641.6,8.8339,6.6395,4.6172,3.1183,0.56443
5109,8.7113,6.5277,4.4806,2.9346,0.51543
5623.4,8.5981,6.3921,4.3287,2.7414,0.46975
6189.7,8.5301,6.2854,4.1972,2.5764,0.41987
6812.9,8.4231,6.1781,4.0735,2.4317,0.38475
7498.9,8.3578,6.0892,3.9713,2.3014,0.35542
8254,8.2759,6.0091,3.8701,2.1735,0.31611
9085.2,8.1953,5.9334,3.7708,2.063,0.28297
10000,8.126,5.8698,3.703,1.9559,0.26515
