Generations, FID
1, 18.08
2, 33.86
3, 47.61
4, 60.42
5, 70.50
6, 82.15
7, 95.61
8, 107.68
9, 119.40
10, 126.89
11, 139.88
12, 154.47
13, 169.23
14, 182.47
15, 199.68
16, 209.33
17, 217.53
18, 218.81
19, 224.62
20, 228.13
21, 228.60
22, 231.37
23, 235.82
24, 238.45
25, 244.09
26, 243.09
27, 243.76
28, 245.60
29, 249.04
30, 251.86
31, 253.85
32, 252.81
33, 254.67
34, 254.06
35, 255.68
36, 255.25
37, 256.42
38, 257.47
39, 259.37
40, 258.36
41, 259.74
42, 260.02
43, 259.45
44, 260.91
45, 262.88
46, 266.36
47, 266.34
48, 268.51
49, 269.14
50, 270.77
51, 269.41
52, 272.60
53, 273.34
54, 275.58
55, 275.92
56, 276.20
57, 275.51
58, 276.09
59, 276.84
60, 278.78
61, 278.95
62, 280.87
63, 280.38
64, 280.56
65, 281.65
66, 281.78
67, 282.12
68, 279.11
69, 280.23
70, 279.40
71, 281.83
72, 281.77
73, 281.33
74, 280.19
75, 280.21
76, 282.99
77, 281.09
78, 280.05
79, 280.16
80, 281.41
81, 279.80
82, 280.38
83, 279.50
84, 276.93
85, 277.87
86, 277.45
87, 278.79
88, 277.69
89, 277.91
90, 276.72
91, 278.64
92, 279.18
93, 280.42
94, 279.58
95, 278.15
96, 278.57
97, 280.43
98, 279.65
99, 278.66
100, 280.20
101, 279.03
