generation, precision
1, 0.2950
2, 0.2902
3, 0.2498
4, 0.2014
5, 0.1309
6, 0.1039
7, 0.0842
8, 0.0637
9, 0.0575
10, 0.0369
11, 0.0285
12, 0.0233
13, 0.0199
14, 0.0253
15, 0.0243
16, 0.0190
17, 0.0168
18, 0.0170
19, 0.0180
20, 0.0222
21, 0.0213
22, 0.0184
23, 0.0190
24, 0.0154
25, 0.0085
26, 0.0128
27, 0.0101
28, 0.0078
29, 0.0063
30, 0.0035
31, 0.0042
32, 0.0031
33, 0.0015
34, 0.0013
35, 0.0009
36, 0.0008
37, 0.0006
38, 0.0009
39, 0.0003
40, 0.0001
41, 0.0002
42, 0.0002
43, 0.0001
44, 0.0001
45, 0.0001
46, 0.0000
47, 0.0000
48, 0.0001
49, 0.0001
50, 0.0000
51, 0.0001
52, 0.0000
53, 0.0000
54, 0.0000
55, 0.0000
56, 0.0000
57, 0.0000
58, 0.0000
59, 0.0000
60, 0.0001
61, 0.0001
62, 0.0000
63, 0.0000
64, 0.0000
65, 0.0003
66, 0.0000
67, 0.0002
68, 0.0000
69, 0.0000
70, 0.0000
71, 0.0000
72, 0.0000
73, 0.0000
74, 0.0000
75, 0.0000
76, 0.0000
77, 0.0000
78, 0.0000
79, 0.0000
80, 0.0000
81, 0.0000
82, 0.0000
83, 0.0000
84, 0.0000
85, 0.0000
86, 0.0000
87, 0.0000
88, 0.0000
89, 0.0000
90, 0.0000
91, 0.0000
92, 0.0000
93, 0.0000
94, 0.0000
95, 0.0000
96, 0.0000
97, 0.0000
98, 0.0000
99, 0.0000
100, 0.0000
101, 0.0001
