iteration cummax_score target_score ci_lower ci_upper
0  0.558780 0.549429 0.514126 0.584733
1  0.585088 0.585088 0.554225 0.615951
2  0.585088 0.573329 0.536801 0.609857
3  0.585088 0.566535 0.533613 0.599457
4  0.585088 0.566862 0.529411 0.604314
5  0.598109 0.598109 0.563122 0.633095
6  0.598109 0.572780 0.539245 0.606315
7  0.602537 0.602537 0.567913 0.637162
8  0.602537 0.573599 0.540287 0.606910
9  0.647096 0.647096 0.613727 0.680466
10 0.647096 0.616119 0.584257 0.647981
11 0.647096 0.620227 0.585398 0.655057
12 0.647096 0.615944 0.587040 0.644848
13 0.647096 0.571242 0.541183 0.601300
14 0.671811 0.671811 0.636892 0.706730
15 0.671811 0.658098 0.626892 0.689304
