iteration file symbol swe lcb cost time tokens cached
0 0.823 0.350 0.167 0.645 1.91 130.2 0.24 32.5
1 0.874 0.317 0.143 0.623 1.71 123.8 0.24 33.6
2 0.921 0.308 0.167 0.582 2.45 151.4 0.26 34.3
3 0.824 0.325 0.222 0.641 1.84 126.9 0.29 31.9
4 0.880 0.308 0.375 0.543 2.70 148.3 0.26 30.9
5 0.889 0.308 0.300 0.593 2.17 134.8 0.23 36.9
6 0.959 0.308 0.367 0.641 2.21 134.1 0.25 36.1
7 0.916 0.350 0.333 0.575 2.15 134.9 0.23 38.2
8 0.928 0.333 0.273 0.640 2.03 128.5 0.26 36.4
9 0.878 0.400 0.471 0.608 2.03 126.3 0.27 38.3
10 0.869 0.408 0.462 0.660 1.77 107.0 0.22 40.9
11 0.892 0.433 0.438 0.697 2.25 129.6 0.27 36.9
12 0.906 0.383 0.438 0.642 1.58 103.9 0.26 39.0
13 0.863 0.400 0.267 0.606 1.66 113.3 0.29 37.2
14 0.936 0.342 0.533 0.665 2.20 117.1 0.25 37.2
15 0.905 0.400 0.510 0.714 1.70 114.5 0.30 36.3
