environment,claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,qwen3-235b-a22b-thinking-2507
S2KT7,,8.5,5.5,37.0,3.0,6.0
27VWC,,4.5,,25.027777777777782,3.0,6.0
KFQYT,,6.0,4.555555555555555,129.0,5.666666666666667,
B58F3,,1.1111111111111112,,1.0,4.666666666666667,
NRDF6,,2.0,3.0307692307692307,16.232142857142858,0.9166666666666666,
6JKKA,2.0,3.0,5.416666666666667,62.76666666666667,5.0,3.0
K8MTQ,38.0,7.0,,22.875,,8.0
T5F9B,8.444444444444445,2.972222222222222,1.9846153846153847,8.074159356725147,6.071428571428571,7.75
N59TE,,10.0,10.25,34.75,4.111111111111111,
76Z75,13.0,2.25,6.135135135135135,37.22222222222222,1.9473684210526314,
NF5VZ,,4.833333333333333,,,1.0,11.0
236VK,,,,18.56168831168831,,
DQ8GC,,6.0,,40.0,3.0,
QM9XB,,,3.142857142857143,28.354166666666668,,24.0
6JVMF,,2.944444444444444,4.0,24.390625,,
27JBD,,,5.25,20.86904761904762,,
VQJH6,,3.0,3.3015873015873014,19.0,4.5,15.0
QQM74,,5.166666666666667,,14.0,8.0,
7XF97,12.75,2.3125,13.558333333333332,191.35714285714286,7.0,6.0
BT3GB,,,,217.0,6.0,
BT2KZ,,0.7777777777777778,2.3333333333333335,15.25,,2.0
B8AKZ,,2.0,27.75,56.1875,,7.0
9F8AJ,,8.333333333333334,6.847619047619048,38.39404761904762,,4.5
4CKC2,,,7.717948717948718,11.083333333333334,,
7WWW9,,9.0,,22.0,8.0,
N2NTD,,4.5,,38.0,,4.0
BY2Q7,,5.0,6.135245901639344,270.11111111111114,,6.166666666666667
4T8TR,,5.5,2.2,25.455357142857142,2.5,10.0
YS322,,5.166666666666667,3.8895833333333334,44.708333333333336,,5.0
WHGHP,,3.25,7.375,106.16666666666667,1.9333333333333333,8.0
EAHCW,,5.0,5.785714285714286,23.875,,4.0
83WKQ,,2.1857142857142855,5.8,36.53333333333333,4.090909090909091,
3J4Z7,,3.0,6.0,11.083333333333334,2.6,6.0
QDHS3,,,,108.0,,
VA6FQ,,3.395604395604396,2.5,30.946470588235297,1.5714285714285714,8.083333333333332
7VKTD,,2.0,9.0,32.666666666666664,,
set,,4.5,,51.55333333333333,,
XHGKQ,,,,19.0,3.6,
F5W3N,,,15.0,36.0,,
JXQAW,12.5,,8.153846153846153,15.3125,3.6098901098901104,6.5
4N7BB,,2.3333333333333335,,22.5,,
NTQ4Y,,,3.0,19.058333333333334,3.0,
DGG2C,,3.8125,,34.625,,
