source,task_type,mean,std,count,sem
claude-4-sonnet,change_detection,29.88095238095238,28.023685435936354,42,4.324148541048865
claude-4-sonnet,masked_frame_prediction,24.023255813953487,18.120612272969336,43,2.7633674651792735
claude-4-sonnet,planning,30.58139534883721,27.81591918149401,43,4.241887907665112
gemini-2.5-flash,change_detection,23.837209302325583,18.522740505554296,43,2.8246914457388574
gemini-2.5-flash,masked_frame_prediction,22.6046511627907,15.455218774750987,43,2.3568987673271558
gemini-2.5-flash,planning,19.209302325581394,14.762497755388537,43,2.2512598022350376
gemini-2.5-pro,change_detection,58.27906976744186,85.40891154055667,43,13.024736903598793
gemini-2.5-pro,masked_frame_prediction,39.76744186046512,46.636301622388494,43,7.111969323014377
gemini-2.5-pro,planning,45.7906976744186,50.02454547021553,43,7.628671665746244
human,change_detection,92.30232558139535,113.67467318041611,129,10.008496902796644
human,masked_frame_prediction,107.84496124031008,125.44592022139976,129,11.044897415378331
human,planning,73.65116279069767,111.30431617605224,129,9.799798605515898
o3,change_detection,30.11627906976744,17.091085538158385,43,2.6063661100014093
o3,masked_frame_prediction,14.232558139534884,8.917177669297894,43,1.3598568459697566
o3,planning,11.30232558139535,3.66147825807146,43,0.5583701996598134
qwen3-235b-a22b-thinking-2507,change_detection,19.74418604651163,9.773854879353273,43,1.4904988957397265
qwen3-235b-a22b-thinking-2507,masked_frame_prediction,28.904761904761905,44.617512433971335,42,6.884631635537066
qwen3-235b-a22b-thinking-2507,planning,42.7906976744186,48.9137034745571,43,7.459269849542916
