environment,click,down,left,resets,right,up
S2KT7,6.5,1.0,1.5,0.0,1.5,1.5
27VWC,15.0,1.0,1.0,0.0,1.0,1.0
KFQYT,4.333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0
B58F3,2.6666666666666665,13.666666666666666,12.333333333333334,0.0,14.333333333333334,13.0
NRDF6,24.0,10.333333333333334,1.0,0.0,1.0,1.0
6JKKA,9.0,2.6666666666666665,2.6666666666666665,1.0,2.3333333333333335,2.6666666666666665
K8MTQ,21.666666666666668,1.0,1.0,0.6666666666666666,1.3333333333333333,1.0
T5F9B,24.333333333333332,0.6666666666666666,1.0,2.6666666666666665,1.0,1.3333333333333333
N59TE,10.333333333333334,1.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666
76Z75,10.333333333333334,14.666666666666666,8.666666666666666,3.0,10.333333333333334,10.0
NF5VZ,12.666666666666666,8.0,4.333333333333333,0.3333333333333333,8.0,5.666666666666667
236VK,5.0,1.3333333333333333,5.666666666666667,0.0,2.0,1.3333333333333333
DQ8GC,1.3333333333333333,5.0,2.0,0.0,6.0,1.0
QM9XB,9.666666666666666,5.666666666666667,9.666666666666666,0.0,5.333333333333333,23.0
6JVMF,4.0,4.0,8.0,0.0,7.666666666666667,3.0
27JBD,42.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
VQJH6,21.0,1.6666666666666667,2.6666666666666665,0.0,2.0,1.6666666666666667
QQM74,4.666666666666667,5.666666666666667,6.0,0.0,8.333333333333334,3.3333333333333335
7XF97,37.333333333333336,2.3333333333333335,8.0,2.0,6.333333333333333,2.3333333333333335
BT3GB,4.0,2.0,1.3333333333333333,0.0,3.0,1.3333333333333333
BT2KZ,5.333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0
B8AKZ,4.0,1.6666666666666667,3.6666666666666665,0.0,3.6666666666666665,1.3333333333333333
9F8AJ,17.333333333333332,0.3333333333333333,1.0,0.0,0.6666666666666666,1.3333333333333333
4CKC2,14.0,1.0,1.0,0.0,1.0,1.0
7WWW9,4.0,8.666666666666666,8.0,0.0,16.0,9.333333333333334
N2NTD,15.333333333333334,5.666666666666667,5.666666666666667,0.0,5.333333333333333,7.333333333333333
BY2Q7,3.6666666666666665,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333
4T8TR,3.3333333333333335,1.0,1.0,0.6666666666666666,1.3333333333333333,1.0
YS322,16.333333333333332,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0
WHGHP,6.0,7.333333333333333,12.333333333333334,0.0,17.333333333333332,8.666666666666666
EAHCW,16.666666666666668,0.6666666666666666,0.6666666666666666,0.0,1.6666666666666667,1.0
83WKQ,3.3333333333333335,2.6666666666666665,6.0,0.0,3.6666666666666665,3.3333333333333335
3J4Z7,36.0,1.0,1.0,0.3333333333333333,1.3333333333333333,1.0
QDHS3,6.0,7.666666666666667,4.666666666666667,0.3333333333333333,13.666666666666666,10.0
VA6FQ,28.0,1.0,1.0,0.0,1.0,1.0
7VKTD,6.0,17.666666666666668,19.0,0.0,18.666666666666668,16.333333333333332
set,3.3333333333333335,2.6666666666666665,1.3333333333333333,0.0,2.3333333333333335,1.0
XHGKQ,9.0,1.0,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333
F5W3N,7.333333333333333,9.666666666666666,1.6666666666666667,0.0,1.6666666666666667,3.0
JXQAW,24.0,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0
4N7BB,10.333333333333334,1.0,1.0,0.0,1.0,1.0
NTQ4Y,14.666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
DGG2C,2.3333333333333335,10.0,4.0,0.0,4.666666666666667,3.0
