environment,click,down,left,resets,right,up
S2KT7,5.666666666666667,2.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.6666666666666665
27VWC,13.666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.3333333333333335,3.6666666666666665
KFQYT,5.666666666666667,7.333333333333333,4.0,0.6666666666666666,3.0,2.6666666666666665
B58F3,3.0,1.0,1.0,0.5,1.5,1.0
NRDF6,13.333333333333334,6.666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333,29.0
6JKKA,4.333333333333333,3.6666666666666665,2.0,1.0,2.0,3.3333333333333335
K8MTQ,10.0,2.6666666666666665,2.3333333333333335,0.6666666666666666,4.333333333333333,1.6666666666666667
T5F9B,111.33333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.6666666666666666
N59TE,13.333333333333334,1.0,0.3333333333333333,0.0,2.0,0.0
76Z75,3.5,1.0,1.25,0.75,11.0,0.75
NF5VZ,1.0,5.666666666666667,3.0,1.0,2.0,10.333333333333334
236VK,3.3333333333333335,2.6666666666666665,4.0,0.0,4.666666666666667,1.6666666666666667
DQ8GC,1.3333333333333333,8.666666666666666,4.666666666666667,1.0,8.0,2.3333333333333335
QM9XB,5.666666666666667,7.333333333333333,13.333333333333334,0.6666666666666666,5.333333333333333,10.0
6JVMF,1.0,1.3333333333333333,5.0,0.3333333333333333,2.0,1.6666666666666667
27JBD,28.333333333333332,7.0,0.3333333333333333,0.3333333333333333,22.666666666666668,1.0
VQJH6,3.6666666666666665,1.0,4.666666666666667,0.6666666666666666,4.666666666666667,1.6666666666666667
QQM74,5.333333333333333,1.6666666666666667,2.0,0.0,2.6666666666666665,2.3333333333333335
7XF97,11.333333333333334,0.6666666666666666,3.0,0.6666666666666666,1.0,2.0
BT3GB,0.6666666666666666,2.6666666666666665,3.6666666666666665,0.3333333333333333,2.6666666666666665,0.6666666666666666
BT2KZ,9.0,3.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
B8AKZ,7.333333333333333,6.666666666666667,3.0,0.6666666666666666,4.0,1.3333333333333333
9F8AJ,10.333333333333334,5.333333333333333,1.0,1.6666666666666667,7.0,0.6666666666666666
4CKC2,12.0,6.0,2.6666666666666665,0.6666666666666666,4.0,1.3333333333333333
7WWW9,2.6666666666666665,13.0,6.0,0.0,7.333333333333333,3.6666666666666665
N2NTD,10.0,3.0,6.0,2.0,3.5,8.0
BY2Q7,73.0,5.666666666666667,4.333333333333333,2.3333333333333335,6.666666666666667,0.6666666666666666
4T8TR,5.666666666666667,1.6666666666666667,2.6666666666666665,1.0,4.0,4.0
YS322,7.666666666666667,0.0,0.6666666666666666,1.0,2.3333333333333335,0.0
WHGHP,3.3333333333333335,3.6666666666666665,2.6666666666666665,0.6666666666666666,2.6666666666666665,4.333333333333333
EAHCW,14.333333333333334,1.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,1.0
83WKQ,4.0,1.3333333333333333,6.0,0.3333333333333333,4.0,2.0
3J4Z7,8.666666666666666,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333
QDHS3,3.6666666666666665,1.6666666666666667,1.3333333333333333,0.6666666666666666,10.0,1.0
VA6FQ,40.0,2.3333333333333335,1.0,4.0,5.333333333333333,0.6666666666666666
7VKTD,3.6666666666666665,0.3333333333333333,1.6666666666666667,0.0,4.666666666666667,2.0
set,5.333333333333333,1.0,2.6666666666666665,0.6666666666666666,3.0,3.0
XHGKQ,10.0,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,1.3333333333333333
F5W3N,16.0,0.6666666666666666,2.3333333333333335,0.0,1.0,6.0
JXQAW,15.333333333333334,1.6666666666666667,4.0,2.6666666666666665,2.6666666666666665,1.3333333333333333
4N7BB,6.666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
NTQ4Y,10.0,8.666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
DGG2C,4.0,6.0,1.0,0.0,1.3333333333333333,1.0
