environment,source,mean,std,count,sem
S2KT7,claude-4-sonnet,1.0,0.0,2,0.0
S2KT7,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
S2KT7,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
S2KT7,human,0.9505377695554537,0.11016316514477494,9,0.03672105504825831
S2KT7,o3,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
S2KT7,qwen3-235b-a22b-thinking-2507,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
27VWC,claude-4-sonnet,0.0,0.0,3,0.0
27VWC,gemini-2.5-flash,0.0,0.0,3,0.0
27VWC,gemini-2.5-pro,0.0,0.0,3,0.0
27VWC,human,0.7725853151070667,0.43819178827726946,9,0.1460639294257565
27VWC,o3,0.0,0.0,3,0.0
27VWC,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
KFQYT,claude-4-sonnet,0.0,0.0,3,0.0
KFQYT,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
KFQYT,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
KFQYT,human,0.8725859711793026,0.3307981980246029,9,0.11026606600820098
KFQYT,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
KFQYT,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
B58F3,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
B58F3,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
B58F3,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
B58F3,human,0.998842018292537,0.002883979200861081,9,0.0009613264002870269
B58F3,o3,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
B58F3,qwen3-235b-a22b-thinking-2507,0.0,0.0,2,0.0
NRDF6,claude-4-sonnet,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
NRDF6,gemini-2.5-flash,0.4539119978620423,0.5063322148779448,3,0.29233104055916087
NRDF6,gemini-2.5-pro,0.0,0.0,3,0.0
NRDF6,human,0.9960311015904162,0.011360115500106157,9,0.0037867051667020524
NRDF6,o3,0.20902298426146135,0.36203842869052083,3,0.20902298426146135
NRDF6,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
6JKKA,claude-4-sonnet,0.0,0.0,3,0.0
6JKKA,gemini-2.5-flash,0.0,0.0,3,0.0
6JKKA,gemini-2.5-pro,0.0,0.0,3,0.0
6JKKA,human,1.0,0.0,9,0.0
6JKKA,o3,0.0,0.0,3,0.0
6JKKA,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
K8MTQ,claude-4-sonnet,0.0,0.0,3,0.0
K8MTQ,gemini-2.5-flash,0.0,0.0,3,0.0
K8MTQ,gemini-2.5-pro,0.0,0.0,3,0.0
K8MTQ,human,1.0,0.0,9,0.0
K8MTQ,o3,0.0,0.0,3,0.0
K8MTQ,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
T5F9B,claude-4-sonnet,0.0,0.0,3,0.0
T5F9B,gemini-2.5-flash,0.0,0.0,3,0.0
T5F9B,gemini-2.5-pro,0.0,0.0,3,0.0
T5F9B,human,0.7188609265991887,0.44297491693136537,9,0.14765830564378846
T5F9B,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
T5F9B,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
N59TE,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
N59TE,gemini-2.5-flash,0.0,0.0,3,0.0
N59TE,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
N59TE,human,0.9999606170167501,0.00011814894974945349,9,3.938298324981783e-05
N59TE,o3,0.6002483635258361,0.5292912271791632,3,0.3055864324915973
N59TE,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
76Z75,claude-4-sonnet,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
76Z75,gemini-2.5-flash,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
76Z75,gemini-2.5-pro,0.0,0.0,3,0.0
76Z75,human,0.9382409280558297,0.131435606312642,9,0.04381186877088067
76Z75,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
76Z75,qwen3-235b-a22b-thinking-2507,0.75,0.5,4,0.25
NF5VZ,claude-4-sonnet,0.0,0.0,3,0.0
NF5VZ,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
NF5VZ,gemini-2.5-pro,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
NF5VZ,human,0.9620878061763661,0.0853047206152963,9,0.028434906871765434
NF5VZ,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
NF5VZ,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
236VK,claude-4-sonnet,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
236VK,gemini-2.5-flash,0.0,0.0,3,0.0
236VK,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
236VK,human,0.6666666666666666,0.5,9,0.16666666666666666
236VK,o3,0.48757182363569296,0.5004631641821673,3,0.2889425425600662
236VK,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
DQ8GC,claude-4-sonnet,0.0,0.0,3,0.0
DQ8GC,gemini-2.5-flash,0.6484133247895483,0.5622095204861475,3,0.32459181799364767
DQ8GC,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
DQ8GC,human,0.9979954567189995,0.006013629843001284,9,0.002004543281000428
DQ8GC,o3,0.0,0.0,3,0.0
DQ8GC,qwen3-235b-a22b-thinking-2507,0.31507999145621496,0.545734553650532,3,0.31507999145621496
QM9XB,claude-4-sonnet,0.0,0.0,3,0.0
QM9XB,gemini-2.5-flash,0.0,0.0,3,0.0
QM9XB,gemini-2.5-pro,0.0,0.0,3,0.0
QM9XB,human,0.99931516347507,0.002054509574790246,9,0.000684836524930082
QM9XB,o3,0.0,0.0,3,0.0
QM9XB,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
6JVMF,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
6JVMF,gemini-2.5-flash,0.0,0.0,3,0.0
6JVMF,gemini-2.5-pro,0.0,0.0,3,0.0
6JVMF,human,0.9963663941777349,0.010900817466795054,9,0.003633605822265018
6JVMF,o3,0.0,0.0,3,0.0
6JVMF,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
27JBD,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
27JBD,gemini-2.5-flash,0.0,0.0,3,0.0
27JBD,gemini-2.5-pro,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
27JBD,human,0.7777777777777778,0.44095855184409843,9,0.1469861839480328
27JBD,o3,0.7451311883623895,0.44144573102104356,3,0.25486881163761066
27JBD,qwen3-235b-a22b-thinking-2507,0.6527799493733505,0.5657076442753542,3,0.32661146070500485
VQJH6,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
VQJH6,gemini-2.5-flash,0.0,0.0,3,0.0
