env,n,prob_defect,avg_test_steps
VZ2Q4,53,1.000000,134.094340
S2KT7,53,1.000000,39.226415
27VWC,53,0.943396,385.415094
KFQYT,53,1.000000,74.132075
B58F3,53,0.867925,139.905660
NRDF6,53,1.000000,15.509434
6JKKA,53,0.981132,72.735849
K8MTQ,53,1.000000,77.943396
T5F9B,53,0.641509,729.245283
N59TE,53,1.000000,16.584906
76Z75,53,1.000000,16.188679
NF5VZ,53,1.000000,24.037736
236VK,53,1.000000,9.716981
DQ8GC,53,1.000000,185.075472
QM9XB,53,0.433962,722.339623
6JVMF,53,1.000000,29.207547
27JBD,53,1.000000,39.641509
QQM74,53,1.000000,9.867925
VQJH6,53,1.000000,28.358491
7XF97,53,0.773585,430.471698
BT3GB,53,1.000000,22.641509
BT2KZ,53,1.000000,23.377358
B8AKZ,53,1.000000,56.603774
9F8AJ,53,0.169811,961.377358
4CKC2,53,0.716981,679.792453
7WWW9,53,0.660377,407.924528
N2NTD,53,0.849057,161.075472
BY2Q7,53,0.000000,1000.000000
4T8TR,53,1.000000,74.471698
YS322,53,0.264151,936.849057
WHGHP,53,0.000000,1000.000000
EAHCW,53,1.000000,22.245283
83WKQ,53,1.000000,23.056604
3J4Z7,53,0.377358,823.716981
QDHS3,53,0.358491,855.641509
VA6FQ,53,0.773585,501.283019
7VKTD,53,1.000000,18.075472
XHGKQ,53,0.132075,935.981132
F5W3N,53,0.886792,192.433962
JXQAW,53,1.000000,55.415094
4N7BB,53,1.000000,39.471698
NTQ4Y,53,0.528302,684.113208
DGG2C,53,1.000000,15.735849
