environment,claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,Autumn-simulator agent,qwen3-235b-a22b-thinking-2507,claude-opus-4-6
S2KT7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27VWC,0.0,0.0,0.0,0.1990272986033681,0.0,0.0,0.0,0.0
KFQYT,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
B58F3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
NRDF6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6JKKA,0.0,0.0,0.0,0.38181143947742324,0.0,0.0,0.0,0.0
K8MTQ,0.0,0.0,0.0,0.5288936811127757,0.0,0.0,0.0,1.0
T5F9B,0.0,0.0,0.0,0.7399295432165268,0.0,0.0,0.0,0.0
N59TE,0.0,0.0,0.0,0.9817466581228816,0.0,0.0,0.0,0.0
76Z75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NF5VZ,0.0,0.0,0.0,0.6849609987154254,0.0,0.0,0.0,1.0
236VK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DQ8GC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
QM9XB,0.0,0.0,0.0,0.9898178467313814,0.0,0.0,0.0,0.0
6JVMF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27JBD,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
VQJH6,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
QQM74,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7XF97,0.0,0.0,0.0,0.6027482300552459,0.0,0.0,0.0,0.0
BT3GB,0.0,0.0,0.0,0.989099182533205,0.0,0.0,0.0,0.0
BT2KZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
B8AKZ,0.0,0.0,0.0,0.903345229878412,0.0,0.0,0.0,0.0
9F8AJ,1.0,0.0,0.0,0.5513709420465397,0.0,0.0,0.0,1.0
4CKC2,1.0,1.0,1.0,0.5759763713721169,0.0,1.0,1.0,1.0
7WWW9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2NTD,0.0,0.0,0.0,0.6034510100847049,0.0,0.0,0.0,0.0
BY2Q7,0.0,0.0,0.0,0.6969828448035357,0.0,0.0,0.0,0.0
4T8TR,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
YS322,0.0,0.0,1.0,0.9428283331535942,0.0,0.0,0.0,1.0
WHGHP,0.0,0.0,0.0,0.9135375250579979,0.0,0.0,0.0,0.0
EAHCW,0.0,0.0,0.0,0.8465150824115414,1.0,0.0,0.0,1.0
83WKQ,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
3J4Z7,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
QDHS3,0.0,0.0,0.0,0.9300108536126408,0.0,0.0,0.0,0.0
VA6FQ,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
7VKTD,1.0,0.0,1.0,0.9530085710570518,1.0,0.0,1.0,1.0
set,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
XHGKQ,0.0,0.0,0.0,0.8544574154418854,0.0,0.0,0.0,1.0
F5W3N,1.0,0.0,0.0,0.19971887201463237,0.0,0.0,0.0,0.0
JXQAW,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4N7BB,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
NTQ4Y,0.0,0.0,0.0,0.9869160560057636,0.0,0.0,0.0,1.0
DGG2C,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
