,p=0.003,p=0.01,p=0.03,p=0.1,p=1
1000,104.44,62.051,30.617,12.304,2.6963
1211.5,124.26,55.996,26.277,10.309,2.1705
1467.8,92.423,49.62,22.227,8.6801,1.8099
1778.3,86.104,44.203,19.018,7.2712,1.4898
2154.4,80.774,39.022,16.225,6.0647,1.2303
2610.2,69.508,33.532,13.805,5.0421,1.0028
3162.3,68.109,29.375,11.736,4.1784,0.82406
3831.2,56.684,25.305,9.7851,3.4856,0.68696
4641.6,50.269,21.907,8.2454,2.8912,0.56916
5623.4,42.815,18.63,6.9222,2.3966,0.46903
6812.9,37.846,15.795,5.7882,1.988,0.39073
8254,31.348,13.508,4.8269,1.6455,0.31589
10000,30.152,11.43,4.0249,1.3631,0.26112
12115,25.594,9.6479,3.3443,1.128,0.22708
14678,21.733,8.1843,2.7817,0.93252,0.18002
17783,18.727,6.8298,2.3166,0.77194,0.1535
21544,16.06,5.7362,1.9137,0.63674,0.12071
26102,13.4,4.7347,1.5875,0.5265,0.1005
31623,11.258,3.9518,1.3163,0.43501,0.084253
38312,9.6482,3.3031,1.0892,0.35929,0.068253
46416,8.0608,2.7439,0.89943,0.29681,0.057623
56234,6.7831,2.2953,0.74412,0.24527,0.047285
68129,5.719,1.8959,0.61478,0.2023,0.037049
82540,4.7446,1.5682,0.50771,0.16728,0.031652
100000,3.9546,1.2929,0.41968,0.13795,0.02678
