generations,0,1,2,3,4,5,6,7,8,9
0,5830.0,6760.0,5925.0,6347.0,5574.0,5556.0,5776.0,6252.0,5897.0,6083.0
1,5730.0,6767.0,5839.0,6719.0,5369.0,5726.0,5651.0,6604.0,5850.0,5745.0
2,5324.0,6552.0,5752.0,7546.0,5154.0,5711.0,5554.0,6538.0,6500.0,5369.0
3,5226.0,6582.0,6291.0,8175.0,4511.0,5627.0,5254.0,6413.0,6369.0,5552.0
4,5092.0,6258.0,6278.0,8353.0,4471.0,5226.0,4608.0,6743.0,7396.0,5575.0
5,4611.0,6233.0,5751.0,8633.0,4590.0,5622.0,4969.0,6226.0,7429.0,5936.0
6,4431.0,6775.0,6135.0,8599.0,4539.0,5191.0,5124.0,5444.0,7786.0,5976.0
7,4578.0,7005.0,5773.0,8767.0,4018.0,4812.0,4885.0,6348.0,8283.0,5531.0
8,5155.0,6844.0,5439.0,9476.0,3896.0,4163.0,4871.0,6598.0,8024.0,5534.0
9,5160.0,6460.0,5553.0,10323.0,3518.0,3713.0,4479.0,7128.0,9130.0,4536.0
10,4737.0,5775.0,6221.0,9170.0,3265.0,4307.0,4732.0,8272.0,10012.0,3509.0
11,3922.0,4779.0,6222.0,10809.0,4029.0,4109.0,3715.0,8171.0,11047.0,3197.0
12,4695.0,4926.0,6155.0,9758.0,3588.0,3675.0,3582.0,8015.0,12073.0,3533.0
13,4577.0,4499.0,6181.0,10992.0,3155.0,3614.0,3395.0,9910.0,11465.0,2212.0
14,4520.0,4414.0,5149.0,12604.0,2407.0,4020.0,2830.0,9449.0,11582.0,3025.0
15,3973.0,4414.0,5354.0,13346.0,1580.0,3710.0,2291.0,10620.0,12331.0,2381.0
16,4305.0,4292.0,5258.0,12810.0,1902.0,3601.0,1786.0,11248.0,12593.0,2205.0
17,4343.0,3670.0,5207.0,12075.0,1737.0,3923.0,1904.0,11655.0,13642.0,1844.0
18,4287.0,3600.0,4633.0,11936.0,1412.0,4020.0,1493.0,12095.0,14261.0,2263.0
19,3806.0,3670.0,5344.0,13429.0,1197.0,3973.0,1515.0,11464.0,13538.0,2064.0
20,3876.0,3761.0,5344.0,13988.0,952.0,4488.0,1510.0,11060.0,13300.0,1721.0
21,3421.0,3172.0,6590.0,13233.0,909.0,4728.0,1026.0,11320.0,13959.0,1642.0
22,2932.0,2670.0,6725.0,13333.0,706.0,5550.0,692.0,11035.0,14587.0,1770.0
23,3210.0,2366.0,6448.0,14542.0,774.0,4781.0,502.0,11198.0,14166.0,2013.0
24,2361.0,2068.0,6559.0,13607.0,1027.0,5174.0,355.0,11994.0,13254.0,3601.0
25,2830.0,2357.0,6659.0,13242.0,1102.0,4328.0,453.0,11828.0,13590.0,3611.0
26,2284.0,2434.0,7630.0,13292.0,1270.0,4213.0,355.0,12153.0,13202.0,3167.0
27,2513.0,2865.0,7218.0,13556.0,1050.0,3734.0,362.0,11681.0,13856.0,3165.0
28,2201.0,3225.0,7791.0,13770.0,895.0,3699.0,283.0,11659.0,13724.0,2753.0
29,1282.0,2949.0,8224.0,14291.0,641.0,4637.0,259.0,11003.0,14246.0,2468.0
30,1508.0,2569.0,9311.0,13759.0,467.0,3739.0,178.0,11619.0,14184.0,2666.0
31,1094.0,2739.0,8921.0,14572.0,287.0,4201.0,174.0,11363.0,14537.0,2112.0
32,992.0,2747.0,7594.0,15588.0,167.0,4219.0,178.0,11104.0,15159.0,2252.0
33,1192.0,3200.0,7884.0,15890.0,150.0,3674.0,209.0,10778.0,15152.0,1871.0
34,1153.0,3224.0,7757.0,15656.0,144.0,3808.0,105.0,10177.0,16046.0,1930.0
35,1377.0,3806.0,7566.0,14679.0,263.0,3883.0,121.0,10140.0,16202.0,1963.0
36,1466.0,3991.0,7243.0,14519.0,312.0,3979.0,183.0,9883.0,16638.0,1786.0
37,1855.0,3764.0,7196.0,13892.0,357.0,4267.0,180.0,9518.0,17262.0,1709.0
38,1719.0,3775.0,7580.0,13841.0,318.0,3565.0,132.0,9327.0,18147.0,1596.0
39,2137.0,3293.0,7625.0,13663.0,515.0,3382.0,186.0,9671.0,17807.0,1721.0
40,2143.0,2224.0,8557.0,14723.0,340.0,3659.0,251.0,9320.0,16931.0,1852.0
41,1784.0,2248.0,8103.0,15603.0,396.0,3731.0,324.0,9699.0,16416.0,1696.0
42,1734.0,2265.0,7999.0,15812.0,419.0,3770.0,306.0,10452.0,15696.0,1547.0
43,1731.0,2300.0,7807.0,16666.0,439.0,3920.0,232.0,11212.0,14175.0,1518.0
44,1706.0,2280.0,7634.0,16852.0,353.0,4114.0,274.0,10450.0,14696.0,1641.0
45,1282.0,2058.0,7264.0,17593.0,413.0,4350.0,221.0,9878.0,15466.0,1475.0
46,1579.0,2256.0,7177.0,15481.0,600.0,4713.0,175.0,10284.0,16294.0,1441.0
