task_id,environment,task_type,score,source,user_id,study_id,interaction_length,resets,left,right,up,down,click,interactive_duration,test_duration,test_time,normalized_difficulty,coverage_ratio,test_steps,actions_between_resets
HSRZ2,76Z75,planning,1.0,human,686fda0d2daea735e302d0ed,686fd0f891e5e0ee88d68ba5,87,2,18,10,4,10,43,149.91,7.558,7.558,-1.886348554958958,1.0,,53
D92N5,B8AKZ,planning,1.0,human,686fda0d2daea735e302d0ed,686fd0f891e5e0ee88d68ba5,72,2,9,13,12,18,18,70.055,10.572,10.572,1.239941231383981,1.0,,41
Q42JF,83WKQ,planning,1.0,human,686fda19f7fc41a7cd496ed7,686fd0f891e5e0ee88d68ba5,18,2,0,0,0,0,16,38.831,139.181,139.181,0.4583687847982463,1.0,,3
Q42JF,83WKQ,planning,1.0,human,686fda3d49b23987471a179a,686fd0f891e5e0ee88d68ba5,56,2,14,11,12,14,3,52.9085,123.104,123.104,-1.1047761083732233,1.0,,28
2MF5W,QQM74,planning,1.0,human,686fda7bec80f4c156203587,686fd0f891e5e0ee88d68ba5,80,3,4,3,4,4,62,81.811,1.898,1.898,-0.3232036617874885,1.0,,27
2MF5W,QQM74,planning,1.0,human,686fda7bec80f4c156203587,686fd0f891e5e0ee88d68ba5,80,3,4,3,4,4,62,81.811,1.898,1.898,-0.3232036617874885,1.0,,37
VSPV3,7VKTD,planning,1.0,human,686fda7bec80f4c156203587,686fd0f891e5e0ee88d68ba5,41,3,8,5,9,4,12,96.831,19.6155,19.6155,-1.886348554958958,1.0,,3
VSPV3,7VKTD,planning,1.0,human,686fda7bec80f4c156203587,686fd0f891e5e0ee88d68ba5,41,3,8,5,9,4,12,96.831,19.6155,19.6155,-1.886348554958958,1.0,,33
D92N5,B8AKZ,planning,1.0,human,686fda7bec80f4c156203587,686fd0f891e5e0ee88d68ba5,124,2,13,12,10,6,81,147.359,9.469,9.469,0.4583687847982463,1.0,,115
76XFY,9F8AJ,planning,1.0,human,686fda856eb5d827cff34008,686fd0f891e5e0ee88d68ba5,204,2,43,30,19,14,96,126.507,15.595,15.595,0.4583687847982463,1.0,,155
C4QF6,3J4Z7,planning,1.0,human,686fda856eb5d827cff34008,686fd0f891e5e0ee88d68ba5,20,5,0,0,0,0,15,20.293,3.698,3.698,0.4583687847982463,1.0,,3
C4QF6,3J4Z7,planning,1.0,human,686fda856eb5d827cff34008,686fd0f891e5e0ee88d68ba5,20,5,0,0,0,0,15,20.293,3.698,3.698,0.4583687847982463,1.0,,1
C4QF6,3J4Z7,planning,1.0,human,686fda856eb5d827cff34008,686fd0f891e5e0ee88d68ba5,20,5,0,0,0,0,15,20.293,3.698,3.698,0.4583687847982463,1.0,,1
C4QF6,3J4Z7,planning,1.0,human,686fda856eb5d827cff34008,686fd0f891e5e0ee88d68ba5,20,5,0,0,0,0,15,20.293,3.698,3.698,0.4583687847982463,1.0,,1
TSERE,DQ8GC,planning,1.0,human,686fda856eb5d827cff34008,686fd0f891e5e0ee88d68ba5,64,2,15,14,8,8,17,24.983,19.249,19.249,-0.3232036617874885,1.0,,47
C4QF6,3J4Z7,planning,1.0,human,686fdab65c55ac087ded75d4,686fd0f891e5e0ee88d68ba5,14,2,1,1,3,3,4,33.511,19.942,19.942,,1.0,,5
D92N5,B8AKZ,planning,1.0,human,686fdab65c55ac087ded75d4,686fd0f891e5e0ee88d68ba5,60,5,9,8,6,8,24,174.079,16.717,16.717,,1.0,,10
D92N5,B8AKZ,planning,1.0,human,686fdab65c55ac087ded75d4,686fd0f891e5e0ee88d68ba5,60,5,9,8,6,8,24,174.079,16.717,16.717,,1.0,,3
D92N5,B8AKZ,planning,1.0,human,686fdab65c55ac087ded75d4,686fd0f891e5e0ee88d68ba5,60,5,9,8,6,8,24,174.079,16.717,16.717,,1.0,,2
D92N5,B8AKZ,planning,1.0,human,686fdab65c55ac087ded75d4,686fd0f891e5e0ee88d68ba5,60,5,9,8,6,8,24,174.079,16.717,16.717,,1.0,,28
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,5
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,5
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,2
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,5
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,9
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,3
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,5
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,2
2MF5W,QQM74,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,63,10,12,10,17,13,1,78.31,10.628,10.628,-0.3232036617874885,0.8333333333333334,,9
Y59YE,N2NTD,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,206,5,51,45,71,2,32,139.361,11.277,11.277,-1.1047761083732233,1.0,,116
Y59YE,N2NTD,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,206,5,51,45,71,2,32,139.361,11.277,11.277,-1.1047761083732233,1.0,,33
Y59YE,N2NTD,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,206,5,51,45,71,2,32,139.361,11.277,11.277,-1.1047761083732233,1.0,,36
Y59YE,N2NTD,planning,1.0,human,686fdaf134a16302c77f4c2f,686fd0f891e5e0ee88d68ba5,206,5,51,45,71,2,32,139.361,11.277,11.277,-1.1047761083732233,1.0,,7
FZAXR,BT2KZ,planning,1.0,human,686fdb1185b1dca3cd229d50,686fd0f891e5e0ee88d68ba5,83,3,4,6,5,13,52,100.932,18.5455,18.5455,-0.3232036617874885,1.0,,25
FZAXR,BT2KZ,planning,1.0,human,686fdb1185b1dca3cd229d50,686fd0f891e5e0ee88d68ba5,83,3,4,6,5,13,52,100.932,18.5455,18.5455,-0.3232036617874885,1.0,,31
FYTZ6,4CKC2,planning,1.0,human,686fdb1185b1dca3cd229d50,686fd0f891e5e0ee88d68ba5,64,3,3,1,4,3,50,80.723,23.166,23.166,-0.3232036617874885,1.0,,9
FYTZ6,4CKC2,planning,1.0,human,686fdb1185b1dca3cd229d50,686fd0f891e5e0ee88d68ba5,64,3,3,1,4,3,50,80.723,23.166,23.166,-0.3232036617874885,1.0,,13
Y59YE,N2NTD,planning,1.0,human,686fdb2b0b573c1d4b705423,686fd0f891e5e0ee88d68ba5,99,3,33,25,24,2,12,83.8265,25.296,25.296,0.4583687847982463,1.0,,45
Y59YE,N2NTD,planning,1.0,human,686fdb2b0b573c1d4b705423,686fd0f891e5e0ee88d68ba5,99,3,33,25,24,2,12,83.8265,25.296,25.296,0.4583687847982463,1.0,,11
P88J5,N59TE,planning,1.0,human,686fdb3b7b7d64555cae56a2,686fd0f891e5e0ee88d68ba5,27,2,0,0,0,0,25,37.307,38.541,38.541,-1.1047761083732233,1.0,,17
