environment,source,action,mean_count
S2KT7,claude-4-sonnet,up,1.5
S2KT7,gemini-2.5-flash,up,2.0
S2KT7,gemini-2.5-pro,up,2.3333333333333335
S2KT7,human,up,4.222222222222222
S2KT7,o3,up,1.3333333333333333
S2KT7,qwen3-235b-a22b-thinking-2507,up,2.6666666666666665
27VWC,claude-4-sonnet,up,1.0
27VWC,gemini-2.5-flash,up,1.0
27VWC,gemini-2.5-pro,up,1.6666666666666667
27VWC,human,up,1.4444444444444444
27VWC,o3,up,1.3333333333333333
27VWC,qwen3-235b-a22b-thinking-2507,up,3.6666666666666665
KFQYT,claude-4-sonnet,up,1.0
KFQYT,gemini-2.5-flash,up,1.3333333333333333
KFQYT,gemini-2.5-pro,up,5.333333333333333
KFQYT,human,up,14.666666666666666
KFQYT,o3,up,2.6666666666666665
KFQYT,qwen3-235b-a22b-thinking-2507,up,2.6666666666666665
B58F3,claude-4-sonnet,up,13.0
B58F3,gemini-2.5-flash,up,1.0
B58F3,gemini-2.5-pro,up,2.3333333333333335
B58F3,human,up,8.11111111111111
B58F3,o3,up,1.6666666666666667
B58F3,qwen3-235b-a22b-thinking-2507,up,1.0
NRDF6,claude-4-sonnet,up,1.0
NRDF6,gemini-2.5-flash,up,1.6666666666666667
NRDF6,gemini-2.5-pro,up,5.333333333333333
NRDF6,human,up,3.4444444444444446
NRDF6,o3,up,0.0
NRDF6,qwen3-235b-a22b-thinking-2507,up,29.0
6JKKA,claude-4-sonnet,up,2.6666666666666665
6JKKA,gemini-2.5-flash,up,0.6666666666666666
6JKKA,gemini-2.5-pro,up,10.666666666666666
6JKKA,human,up,46.77777777777778
6JKKA,o3,up,2.6666666666666665
6JKKA,qwen3-235b-a22b-thinking-2507,up,3.3333333333333335
K8MTQ,claude-4-sonnet,up,1.0
K8MTQ,gemini-2.5-flash,up,1.0
K8MTQ,gemini-2.5-pro,up,1.0
K8MTQ,human,up,6.444444444444445
K8MTQ,o3,up,0.6666666666666666
K8MTQ,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
T5F9B,claude-4-sonnet,up,1.3333333333333333
T5F9B,gemini-2.5-flash,up,1.6666666666666667
T5F9B,gemini-2.5-pro,up,2.0
T5F9B,human,up,3.6666666666666665
T5F9B,o3,up,0.6666666666666666
T5F9B,qwen3-235b-a22b-thinking-2507,up,0.6666666666666666
N59TE,claude-4-sonnet,up,0.6666666666666666
N59TE,gemini-2.5-flash,up,1.0
N59TE,gemini-2.5-pro,up,4.333333333333333
N59TE,human,up,4.333333333333333
N59TE,o3,up,2.3333333333333335
N59TE,qwen3-235b-a22b-thinking-2507,up,0.0
76Z75,claude-4-sonnet,up,10.0
76Z75,gemini-2.5-flash,up,1.3333333333333333
76Z75,gemini-2.5-pro,up,10.0
76Z75,human,up,7.333333333333333
76Z75,o3,up,3.0
76Z75,qwen3-235b-a22b-thinking-2507,up,0.75
NF5VZ,claude-4-sonnet,up,5.666666666666667
NF5VZ,gemini-2.5-flash,up,2.0
NF5VZ,gemini-2.5-pro,up,14.666666666666666
NF5VZ,human,up,19.444444444444443
NF5VZ,o3,up,1.0
NF5VZ,qwen3-235b-a22b-thinking-2507,up,10.333333333333334
236VK,claude-4-sonnet,up,1.3333333333333333
236VK,gemini-2.5-flash,up,1.6666666666666667
236VK,gemini-2.5-pro,up,1.6666666666666667
236VK,human,up,27.22222222222222
236VK,o3,up,2.6666666666666665
236VK,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
DQ8GC,claude-4-sonnet,up,1.0
DQ8GC,gemini-2.5-flash,up,3.0
DQ8GC,gemini-2.5-pro,up,1.6666666666666667
DQ8GC,human,up,7.888888888888889
DQ8GC,o3,up,1.0
DQ8GC,qwen3-235b-a22b-thinking-2507,up,2.3333333333333335
QM9XB,claude-4-sonnet,up,23.0
QM9XB,gemini-2.5-flash,up,3.3333333333333335
QM9XB,gemini-2.5-pro,up,11.666666666666666
QM9XB,human,up,31.77777777777778
QM9XB,o3,up,1.3333333333333333
QM9XB,qwen3-235b-a22b-thinking-2507,up,10.0
6JVMF,claude-4-sonnet,up,3.0
6JVMF,gemini-2.5-flash,up,4.666666666666667
6JVMF,gemini-2.5-pro,up,4.0
6JVMF,human,up,17.0
6JVMF,o3,up,2.0
6JVMF,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
27JBD,claude-4-sonnet,up,1.0
27JBD,gemini-2.5-flash,up,0.3333333333333333
27JBD,gemini-2.5-pro,up,0.3333333333333333
27JBD,human,up,5.666666666666667
27JBD,o3,up,0.6666666666666666
27JBD,qwen3-235b-a22b-thinking-2507,up,1.0
VQJH6,claude-4-sonnet,up,1.6666666666666667
VQJH6,gemini-2.5-flash,up,1.0
VQJH6,gemini-2.5-pro,up,7.333333333333333
VQJH6,human,up,2.6666666666666665
VQJH6,o3,up,2.6666666666666665
VQJH6,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
QQM74,claude-4-sonnet,up,3.3333333333333335
QQM74,gemini-2.5-flash,up,7.666666666666667
QQM74,gemini-2.5-pro,up,1.3333333333333333
QQM74,human,up,7.777777777777778
QQM74,o3,up,1.0
QQM74,qwen3-235b-a22b-thinking-2507,up,2.3333333333333335
7XF97,claude-4-sonnet,up,2.3333333333333335
7XF97,gemini-2.5-flash,up,1.0
7XF97,gemini-2.5-pro,up,3.0
7XF97,human,up,6.222222222222222
7XF97,o3,up,1.3333333333333333
7XF97,qwen3-235b-a22b-thinking-2507,up,2.0
