environment,click,down,left,resets,right,up
S2KT7,16.666666666666668,1.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,2.0
27VWC,20.0,2.0,1.0,2.6666666666666665,1.6666666666666667,1.0
KFQYT,16.666666666666668,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333
B58F3,6.666666666666667,0.6666666666666666,2.0,3.6666666666666665,3.6666666666666665,1.0
NRDF6,13.0,1.0,1.0,1.3333333333333333,1.0,1.6666666666666667
6JKKA,7.666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.6666666666666666
K8MTQ,12.0,2.3333333333333335,1.0,1.6666666666666667,4.333333333333333,1.0
T5F9B,6.333333333333333,1.3333333333333333,1.3333333333333333,3.6666666666666665,1.3333333333333333,1.6666666666666667
N59TE,22.333333333333332,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0
76Z75,8.666666666666666,1.0,1.0,3.0,1.0,1.3333333333333333
NF5VZ,9.666666666666666,2.0,2.3333333333333335,3.3333333333333335,3.0,2.0
236VK,11.0,0.3333333333333333,5.666666666666667,0.3333333333333333,1.0,1.6666666666666667
DQ8GC,2.6666666666666665,5.666666666666667,2.3333333333333335,0.6666666666666666,5.0,3.0
QM9XB,4.666666666666667,1.3333333333333333,2.0,0.3333333333333333,4.0,3.3333333333333335
6JVMF,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.0,4.666666666666667
27JBD,12.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
VQJH6,10.0,1.0,1.0,1.0,1.0,1.0
QQM74,6.666666666666667,4.333333333333333,6.0,5.0,5.666666666666667,7.666666666666667
7XF97,19.0,1.0,2.3333333333333335,6.0,1.6666666666666667,1.0
BT3GB,5.0,1.6666666666666667,1.0,0.0,1.0,1.6666666666666667
BT2KZ,15.666666666666666,0.0,0.0,6.666666666666667,0.0,0.3333333333333333
B8AKZ,4.333333333333333,2.0,2.0,1.3333333333333333,1.3333333333333333,2.6666666666666665
9F8AJ,15.0,6.0,3.0,2.3333333333333335,12.0,1.6666666666666667
4CKC2,8.666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
7WWW9,3.6666666666666665,1.3333333333333333,10.0,2.6666666666666665,16.666666666666668,7.333333333333333
N2NTD,11.333333333333334,1.0,1.0,1.3333333333333333,1.0,2.0
BY2Q7,19.0,3.3333333333333335,2.3333333333333335,3.0,3.3333333333333335,3.0
4T8TR,13.333333333333334,1.0,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
YS322,30.0,1.0,1.6666666666666667,2.3333333333333335,5.0,0.6666666666666666
WHGHP,4.333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,4.666666666666667,4.666666666666667
EAHCW,7.333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
83WKQ,16.0,1.0,4.0,8.0,2.0,1.6666666666666667
3J4Z7,10.333333333333334,0.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333
QDHS3,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.3333333333333333,11.333333333333334,1.3333333333333333
VA6FQ,12.0,5.333333333333333,3.6666666666666665,7.666666666666667,3.6666666666666665,6.0
7VKTD,2.3333333333333335,2.6666666666666665,4.666666666666667,0.6666666666666666,3.3333333333333335,6.333333333333333
set,4.666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667
XHGKQ,6.666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333
F5W3N,4.0,0.6666666666666666,1.3333333333333333,0.0,2.0,1.6666666666666667
JXQAW,10.666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0
4N7BB,7.666666666666667,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
NTQ4Y,7.666666666666667,1.0,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333
DGG2C,10.0,5.333333333333333,7.333333333333333,8.333333333333334,8.333333333333334,7.0
