environment,click,down,left,resets,right,up
S2KT7,7.666666666666667,2.0,2.6666666666666665,1.3333333333333333,3.6666666666666665,2.3333333333333335
27VWC,13.0,1.3333333333333333,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667
KFQYT,34.333333333333336,6.666666666666667,3.3333333333333335,3.3333333333333335,5.333333333333333,5.333333333333333
B58F3,3.6666666666666665,7.0,2.3333333333333335,0.0,6.0,2.3333333333333335
NRDF6,52.0,16.0,6.333333333333333,22.0,12.666666666666666,5.333333333333333
6JKKA,22.666666666666668,5.0,2.6666666666666665,9.0,3.0,10.666666666666666
K8MTQ,9.0,1.0,1.0,0.3333333333333333,2.3333333333333335,1.0
T5F9B,65.33333333333333,2.3333333333333335,1.6666666666666667,15.666666666666666,2.6666666666666665,2.0
N59TE,69.0,7.0,5.0,1.6666666666666667,8.0,4.333333333333333
76Z75,15.0,9.333333333333334,8.333333333333334,14.0,7.666666666666667,10.0
NF5VZ,27.333333333333332,16.333333333333332,11.0,0.3333333333333333,10.333333333333334,14.666666666666666
236VK,6.666666666666667,2.3333333333333335,3.3333333333333335,0.0,1.3333333333333333,1.6666666666666667
DQ8GC,2.0,5.0,2.3333333333333335,0.0,5.666666666666667,1.6666666666666667
QM9XB,17.333333333333332,13.333333333333334,22.333333333333332,3.0,24.0,11.666666666666666
6JVMF,8.666666666666666,3.3333333333333335,4.0,1.6666666666666667,3.6666666666666665,4.0
27JBD,17.0,0.3333333333333333,0.0,1.6666666666666667,2.0,0.3333333333333333
VQJH6,24.666666666666668,7.666666666666667,6.666666666666667,6.333333333333333,7.333333333333333,7.333333333333333
QQM74,10.0,3.3333333333333335,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333
7XF97,73.33333333333333,5.0,22.0,6.666666666666667,23.333333333333332,3.0
BT3GB,2.0,5.0,5.333333333333333,0.3333333333333333,3.0,1.3333333333333333
BT2KZ,7.333333333333333,2.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,2.0
B8AKZ,27.666666666666668,26.333333333333332,15.0,1.6666666666666667,14.333333333333334,11.333333333333334
9F8AJ,124.66666666666667,9.333333333333334,9.666666666666666,18.0,13.666666666666666,6.0
4CKC2,18.333333333333332,3.3333333333333335,2.3333333333333335,6.0,3.3333333333333335,3.0
7WWW9,7.666666666666667,11.333333333333334,9.666666666666666,0.6666666666666666,11.333333333333334,14.666666666666666
N2NTD,7.666666666666667,2.3333333333333335,1.3333333333333333,0.0,1.0,2.0
BY2Q7,75.33333333333333,11.333333333333334,4.333333333333333,22.666666666666668,8.0,5.333333333333333
4T8TR,5.333333333333333,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,2.0
YS322,47.333333333333336,3.6666666666666665,3.6666666666666665,11.0,6.0,1.6666666666666667
WHGHP,22.666666666666668,6.666666666666667,4.666666666666667,2.3333333333333335,7.666666666666667,4.0
EAHCW,19.666666666666668,3.3333333333333335,2.6666666666666665,3.3333333333333335,4.0,3.0
83WKQ,9.666666666666666,4.333333333333333,5.333333333333333,2.3333333333333335,5.0,3.3333333333333335
3J4Z7,7.666666666666667,1.0,1.0,1.3333333333333333,1.0,1.0
QDHS3,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,1.0
VA6FQ,8.666666666666666,2.0,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333
7VKTD,4.333333333333333,11.333333333333334,9.0,1.0,9.0,14.0
set,4.666666666666667,1.0,1.0,0.0,3.0,0.3333333333333333
XHGKQ,15.0,2.6666666666666665,3.0,0.3333333333333333,3.0,3.0
F5W3N,5.666666666666667,3.0,33.333333333333336,1.0,24.333333333333332,10.333333333333334
JXQAW,29.0,6.333333333333333,6.666666666666667,4.666666666666667,6.666666666666667,5.666666666666667
4N7BB,13.0,1.0,1.0,0.6666666666666666,1.0,1.0
NTQ4Y,12.0,1.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333
DGG2C,3.6666666666666665,5.333333333333333,1.3333333333333333,0.0,3.0,1.0
