environment,claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,qwen3-235b-a22b-thinking-2507
S2KT7,1.0,0.3333333333333333,0.3333333333333333,0.9505377695554537,0.6666666666666666,0.6666666666666666
27VWC,0.0,0.0,0.0,0.7725853151070667,0.0,0.3333333333333333
KFQYT,0.0,0.3333333333333333,0.3333333333333333,0.8725859711793026,0.3333333333333333,0.0
B58F3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.998842018292537,0.6666666666666666,0.0
NRDF6,0.6666666666666666,0.4539119978620423,0.0,0.9960311015904162,0.20902298426146135,0.0
6JKKA,0.0,0.0,0.0,1.0,0.0,0.0
K8MTQ,0.0,0.0,0.0,1.0,0.0,0.0
T5F9B,0.0,0.0,0.0,0.7188609265991887,0.3333333333333333,0.0
N59TE,0.3333333333333333,0.0,0.3333333333333333,0.9999606170167501,0.6002483635258361,0.0
76Z75,0.6666666666666666,0.6666666666666666,0.0,0.9382409280558297,0.3333333333333333,0.75
NF5VZ,0.0,0.3333333333333333,0.6666666666666666,0.9620878061763661,0.3333333333333333,0.0
236VK,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.48757182363569296,0.3333333333333333
DQ8GC,0.0,0.6484133247895483,0.3333333333333333,0.9979954567189995,0.0,0.31507999145621496
QM9XB,0.0,0.0,0.0,0.99931516347507,0.0,0.0
6JVMF,0.3333333333333333,0.0,0.0,0.9963663941777349,0.0,0.0
27JBD,0.3333333333333333,0.0,0.6666666666666666,0.7777777777777778,0.7451311883623895,0.6527799493733505
VQJH6,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0
QQM74,0.3333333333333333,0.0,0.3333333333333333,0.8885639922036059,0.6643788691737006,0.3333333333333333
7XF97,0.0,0.0,0.0,0.7705809230218211,0.0,0.0
BT3GB,0.0,0.328242256699024,0.0,1.0,0.0,0.0
BT2KZ,0.3333333333333333,0.0,0.3333333333333333,0.8888888888888888,0.5423563175947946,0.3333333333333333
B8AKZ,0.0,0.33310401842170695,0.0,1.0,0.3332151843835839,0.0
9F8AJ,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
4CKC2,1.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.0,0.3333333333333333
7WWW9,0.3333333333333333,0.9987416603392204,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
N2NTD,0.0,0.0,0.3333333333333333,0.9998717733669655,0.3333333333333333,0.0
BY2Q7,0.0,0.0,0.0,0.840373966112367,0.0,0.0
4T8TR,0.3333333333333333,0.6594636590368107,0.3333333333333333,1.0,0.2972427218571802,0.4802611487827775
YS322,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
WHGHP,0.0,0.0,0.0,0.9904970650710518,0.0,0.0
EAHCW,0.0,0.0,0.0,0.8888888888888888,0.44535493843667334,0.0
83WKQ,0.6666666666666666,0.2972427218571802,0.3333333333333333,0.9983612856467059,0.3333333333333333,0.3333333333333333
3J4Z7,0.0,0.0,0.3333333333333333,0.9772812759487137,0.6557658491998716,0.0
QDHS3,0.0,0.0,0.0,1.0,0.0,0.0
VA6FQ,0.0,0.0,0.3333333333333333,0.7777777777777778,0.0,0.0
7VKTD,0.3333333333333333,0.0,0.3333333333333333,1.0,0.5014176762943389,0.3333333333333333
set,0.3333333333333333,0.3333333333333333,0.0,1.0,0.11822240805227417,0.0
XHGKQ,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
F5W3N,0.3333333333333333,0.3333333333333333,0.0,0.9286043104086692,0.0,0.0
JXQAW,0.3333333333333333,0.5423563175947946,0.0,1.0,0.6557658491998716,0.32243251586653826
4N7BB,0.6666666666666666,0.6484133247895483,0.6666666666666666,0.9726517754407915,0.9204183400127818,0.3333333333333333
NTQ4Y,0.0,0.0,0.0,0.7706416310635511,0.0,0.0
DGG2C,0.3333333333333333,0.32955907666758755,0.3333333333333333,0.9842898605538242,0.3333333333333333,0.3333333333333333
