environment,source,mean_resets
S2KT7,claude-4-sonnet,0.0
S2KT7,gemini-2.5-flash,2.3333333333333335
S2KT7,gemini-2.5-pro,1.3333333333333333
S2KT7,human,1.5555555555555556
S2KT7,o3,1.6666666666666667
S2KT7,qwen3-235b-a22b-thinking-2507,1.3333333333333333
27VWC,claude-4-sonnet,0.0
27VWC,gemini-2.5-flash,2.6666666666666665
27VWC,gemini-2.5-pro,0.0
27VWC,human,3.3333333333333335
27VWC,o3,1.3333333333333333
27VWC,qwen3-235b-a22b-thinking-2507,1.3333333333333333
KFQYT,claude-4-sonnet,0.0
KFQYT,gemini-2.5-flash,1.6666666666666667
KFQYT,gemini-2.5-pro,3.3333333333333335
KFQYT,human,1.1111111111111112
KFQYT,o3,2.0
KFQYT,qwen3-235b-a22b-thinking-2507,0.6666666666666666
B58F3,claude-4-sonnet,0.0
B58F3,gemini-2.5-flash,3.6666666666666665
B58F3,gemini-2.5-pro,0.0
B58F3,human,1.1111111111111112
B58F3,o3,1.3333333333333333
B58F3,qwen3-235b-a22b-thinking-2507,0.5
NRDF6,claude-4-sonnet,0.0
NRDF6,gemini-2.5-flash,1.3333333333333333
NRDF6,gemini-2.5-pro,22.0
NRDF6,human,4.222222222222222
NRDF6,o3,4.666666666666667
NRDF6,qwen3-235b-a22b-thinking-2507,0.3333333333333333
6JKKA,claude-4-sonnet,1.0
6JKKA,gemini-2.5-flash,0.6666666666666666
6JKKA,gemini-2.5-pro,9.0
6JKKA,human,2.4444444444444446
6JKKA,o3,1.3333333333333333
6JKKA,qwen3-235b-a22b-thinking-2507,1.0
K8MTQ,claude-4-sonnet,0.6666666666666666
K8MTQ,gemini-2.5-flash,1.6666666666666667
K8MTQ,gemini-2.5-pro,0.3333333333333333
K8MTQ,human,1.6666666666666667
K8MTQ,o3,0.6666666666666666
K8MTQ,qwen3-235b-a22b-thinking-2507,0.6666666666666666
T5F9B,claude-4-sonnet,2.6666666666666665
T5F9B,gemini-2.5-flash,3.6666666666666665
T5F9B,gemini-2.5-pro,15.666666666666666
T5F9B,human,10.88888888888889
T5F9B,o3,4.0
T5F9B,qwen3-235b-a22b-thinking-2507,2.3333333333333335
N59TE,claude-4-sonnet,0.0
N59TE,gemini-2.5-flash,1.6666666666666667
N59TE,gemini-2.5-pro,1.6666666666666667
N59TE,human,2.0
N59TE,o3,4.0
