task_type,source,mean,std,count,sem
change_detection,claude-4-sonnet,0.09523809523809523,0.2971017571861746,42,0.04584379641345075
change_detection,gemini-2.5-flash,0.2027522110272649,0.3852657764589544,43,0.0587524801080714
change_detection,gemini-2.5-pro,0.11627906976744186,0.3243530062242882,43,0.04946336973228638
change_detection,human,0.9141561700856204,0.23548209554348573,129,0.020733042444471914
change_detection,o3,0.22158924516212447,0.35558103842746264,43,0.05422559999757102
change_detection,oracle,0.34944960064338393,0.46682388236739714,43,0.07118997465814408
change_detection,qwen3-235b-a22b-thinking-2507,0.07701536782410799,0.25292572267083,43,0.03857081110764243
masked_frame_prediction,claude-4-sonnet,0.3023255813953488,0.4647008111181006,43,0.0708662093279121
masked_frame_prediction,gemini-2.5-flash,0.2558139534883721,0.4414814484488266,43,0.06732528971681356
masked_frame_prediction,gemini-2.5-pro,0.2558139534883721,0.44148144844882664,43,0.06732528971681358
masked_frame_prediction,human,0.937984496124031,0.24212399923954656,129,0.02131782945736434
masked_frame_prediction,o3,0.27906976744186046,0.4538502687508102,43,0.06921151712956695
masked_frame_prediction,oracle,0.813953488372093,0.39374961547907883,43,0.06004625342957235
masked_frame_prediction,qwen3-235b-a22b-thinking-2507,0.21428571428571427,0.4152997322366327,42,0.06408213992247219
planning,claude-4-sonnet,0.3488372093023256,0.4822428221704121,43,0.07354134093414835
planning,gemini-2.5-flash,0.13953488372093023,0.350604603563426,43,0.0534667007954521
planning,gemini-2.5-pro,0.20930232558139536,0.41162509149327114,43,0.06277223796575145
planning,human,0.9534883720930233,0.21141137018112452,129,0.018613733248351305
planning,o3,0.32558139534883723,0.47413732351544263,43,0.07230526397743266
planning,oracle,0.18604651162790697,0.39374961547907883,43,0.06004625342957235
planning,qwen3-235b-a22b-thinking-2507,0.20930232558139536,0.4116250914932712,43,0.06277223796575145
