model,task_type,prompt_type,score_count,score_mean,score_std,score_min,score_max,interaction_steps_mean,interaction_steps_std,resets_mean,resets_std
claude-4-sonnet,change_detection,new_system_prompt,7,0.2418,0.3441,0.0,0.8561,16.0,6.377,0.0,0.0
claude-4-sonnet,change_detection,new_system_prompt_refined,7,0.0641,0.1096,0.0,0.2354,15.4286,4.7909,0.0,0.0
claude-4-sonnet,change_detection,original,7,0.2857,0.488,0.0,1.0,18.7143,12.8285,0.1429,0.378
claude-4-sonnet,change_detection,prompt_with_tutorial,7,0.0375,0.0991,0.0,0.2622,11.0,3.8297,0.0,0.0
claude-4-sonnet,masked_frame_prediction,new_system_prompt,8,0.0,0.0,0.0,0.0,7.5,1.6036,0.25,0.7071
claude-4-sonnet,masked_frame_prediction,new_system_prompt_refined,8,0.0,0.0,0.0,0.0,18.0,4.5356,0.0,0.0
claude-4-sonnet,masked_frame_prediction,original,8,0.25,0.4629,0.0,1.0,18.0,12.5129,0.25,0.4629
claude-4-sonnet,masked_frame_prediction,prompt_with_tutorial,8,0.125,0.3536,0.0,1.0,16.25,4.3997,0.0,0.0
claude-4-sonnet,planning,new_system_prompt,8,0.25,0.4629,0.0,1.0,17.625,6.8855,0.0,0.0
claude-4-sonnet,planning,new_system_prompt_refined,8,0.125,0.3536,0.0,1.0,0.0,0.0,0.0,0.0
claude-4-sonnet,planning,original,8,0.25,0.4629,0.0,1.0,16.875,8.8872,0.25,0.4629
claude-4-sonnet,planning,prompt_with_tutorial,8,0.25,0.4629,0.0,1.0,16.25,4.3342,0.0,0.0
gemini-2.5-pro,change_detection,new_system_prompt,8,0.064,0.1811,0.0,0.5122,14.0,7.445,0.0,0.0
gemini-2.5-pro,change_detection,new_system_prompt_refined,8,0.0752,0.2127,0.0,0.6017,16.0,7.8011,0.0,0.0
gemini-2.5-pro,change_detection,original,8,0.125,0.3536,0.0,1.0,50.625,81.9633,2.5,4.7809
gemini-2.5-pro,change_detection,prompt_with_tutorial,8,0.0,0.0,0.0,0.0,15.625,13.1251,0.0,0.0
gemini-2.5-pro,masked_frame_prediction,new_system_prompt,8,0.25,0.4629,0.0,1.0,9.25,3.9551,0.375,0.744
gemini-2.5-pro,masked_frame_prediction,new_system_prompt_refined,8,0.25,0.4629,0.0,1.0,16.625,8.5178,0.0,0.0
gemini-2.5-pro,masked_frame_prediction,original,8,0.125,0.3536,0.0,1.0,16.375,13.6585,0.25,0.7071
gemini-2.5-pro,masked_frame_prediction,prompt_with_tutorial,8,0.25,0.4629,0.0,1.0,14.0,6.4807,0.0,0.0
gemini-2.5-pro,planning,new_system_prompt,8,0.25,0.4629,0.0,1.0,20.5,10.7571,0.0,0.0
gemini-2.5-pro,planning,new_system_prompt_refined,8,0.25,0.4629,0.0,1.0,86.625,104.1358,0.0,0.0
gemini-2.5-pro,planning,original,8,0.25,0.4629,0.0,1.0,32.375,35.3672,3.125,3.3991
gemini-2.5-pro,planning,prompt_with_tutorial,8,0.25,0.4629,0.0,1.0,23.375,12.4205,0.0,0.0
o3,change_detection,new_system_prompt,8,0.0481,0.1361,0.0,0.3848,32.25,17.2689,0.0,0.0
o3,change_detection,new_system_prompt_refined,8,0.2351,0.4358,0.0,0.9806,22.625,8.3655,0.0,0.0
o3,change_detection,original,8,0.2364,0.4387,0.0,0.9996,28.0,13.4377,1.75,1.9086
o3,change_detection,prompt_with_tutorial,8,0.1088,0.2114,0.0,0.5545,19.375,8.9592,0.0,0.0
o3,masked_frame_prediction,new_system_prompt,6,0.3333,0.5164,0.0,1.0,6.6667,2.582,0.0,0.0
o3,masked_frame_prediction,new_system_prompt_refined,6,0.0,0.0,0.0,0.0,21.1667,7.1671,0.0,0.0
o3,masked_frame_prediction,original,6,0.0,0.0,0.0,0.0,9.3333,2.9439,0.5,0.8367
o3,masked_frame_prediction,prompt_with_tutorial,6,0.3333,0.5164,0.0,1.0,22.6667,7.8401,0.0,0.0
o3,planning,new_system_prompt,8,0.125,0.3536,0.0,1.0,26.25,10.2225,0.0,0.0
o3,planning,new_system_prompt_refined,8,0.25,0.4629,0.0,1.0,0.25,0.4629,0.0,0.0
o3,planning,original,8,0.25,0.4629,0.0,1.0,12.0,2.9761,1.0,0.0
o3,planning,prompt_with_tutorial,8,0.25,0.4629,0.0,1.0,50.625,20.4935,0.0,0.0
