env,n,avg_score,avg_test_steps
VZ2Q4,51,0.019608,982.921569
S2KT7,51,1.000000,6.215686
27VWC,51,0.156863,885.549020
KFQYT,51,1.000000,45.333333
B58F3,51,1.000000,190.000000
NRDF6,51,0.705882,404.803922
6JKKA,51,0.196078,855.588235
K8MTQ,51,0.000000,1000.000000
T5F9B,51,0.745098,645.176471
N59TE,51,0.000000,1000.000000
76Z75,51,0.039216,963.901961
NF5VZ,51,1.000000,109.666667
236VK,51,0.196078,808.627451
DQ8GC,51,0.000000,1000.000000
QM9XB,51,0.098039,954.333333
6JVMF,51,1.000000,32.725490
27JBD,51,0.000000,1000.000000
QQM74,51,1.000000,218.901961
VQJH6,51,0.941176,321.470588
7XF97,51,0.196078,949.019608
BT3GB,51,0.000000,1000.000000
BT2KZ,51,0.000000,1000.000000
B8AKZ,51,1.000000,249.784314
9F8AJ,51,0.117647,949.843137
4CKC2,51,0.549020,667.666667
7WWW9,51,0.529412,522.803922
N2NTD,51,0.000000,1000.000000
BY2Q7,51,0.000000,1000.000000
4T8TR,51,0.372549,694.215686
YS322,51,0.000000,1000.000000
WHGHP,51,0.215686,923.098039
EAHCW,51,0.000000,1000.000000
83WKQ,51,1.000000,197.588235
3J4Z7,51,0.960784,85.941176
QDHS3,51,0.000000,1000.000000
VA6FQ,51,0.058824,944.588235
7VKTD,51,0.549020,692.019608
XHGKQ,51,0.000000,1000.000000
F5W3N,51,0.941176,187.294118
JXQAW,51,0.549020,597.921569
4N7BB,51,0.039216,978.588235
NTQ4Y,51,0.000000,1000.000000
DGG2C,51,1.000000,113.509804
