model,config,num_games,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_steps,avg_actions_before_test
claude-4-sonnet,cd,43,175385,38592,213977,40.4,29.8
claude-4-sonnet,mfp,42,517522,84946,602468,60.9,27.0
claude-4-sonnet,planning,43,513084,74291,587375,61.1,30.9
gemini-2.5-flash,cd,43,3253644,1016033,4269677,81.9,24.6
gemini-2.5-flash,mfp,43,2016893,590649,2607542,59.4,23.3
gemini-2.5-flash,planning,42,791093,276973,1068067,32.4,18.6
gemini-2.5-pro,cd,43,506461,179966,686427,77.7,63.6
gemini-2.5-pro,mfp,43,538521,217205,755726,79.3,40.5
gemini-2.5-pro,planning,43,990631,239285,1229915,81.8,48.4
o3,cd,43,2717180,98548,2815728,76.1,34.0
o3,mfp,43,1608990,26986,1635976,55.5,16.5
o3,planning,29,855823,21026,876849,42.9,11.9
qwen3-235b,cd,43,2444015,534866,2978881,66.2,24.6
qwen3-235b,mfp,42,3137260,423406,3560667,82.5,35.0
qwen3-235b,planning,34,2791275,323183,3114457,65.3,40.6
claude-4-sonnet,all,128,401094,65794,466889,54.1,29.3
gemini-2.5-flash,all,128,2030148,630627,2660775,58.1,22.2
gemini-2.5-pro,all,129,678537,212152,890689,79.6,50.8
o3,all,115,1833427,52241,1885668,60.0,21.9
qwen3-235b,all,119,2787907,435046,3222953,71.7,32.8
